BQB,CQOAC,CWPU,DTOT,EMWB,GGOC,IGRIG,IRKXL,IZQLN,JFG,KBJZN,MBTTD,MOSWO,PDTOU,PVAU,QPESE,RJK,TBILLJMD,TBILLUSD,TIHE,WBG,XEAK,XKFZ,XPMCJ,YTR
1.0,0.850116644,0.060003612,0.23653255,0.839306357,0.329063891,0.449230439,0.222555804,0.423066217,-0.113808998,0.379810378,0.497198054,0.82197403,0.252144873,0.066364872,-0.105591048,0.814053047,0.019076961,0.208815984,0.386536865,0.773679645,0.355052123,0.319878884,0.262177278,0.416906932
0.850116644,1.0,0.075285445,0.275946034,0.888708166,0.288840495,0.493809864,0.194541284,0.470386291,-0.099904596,0.404994114,0.457063517,0.782592035,0.238445165,0.06683952,-0.108553106,0.781159098,0.050618492,0.245419902,0.361014648,0.770178208,0.396663029,0.366387835,0.315678666,0.410181528
0.060003612,0.075285445,1.0,0.632399648,0.069076622,0.203868667,0.546338651,0.548576651,0.098351121,0.671384734,0.133995469,0.108947134,0.070561385,0.173663958,0.660427223,0.61540303,0.074688229,0.077145919,0.088809488,0.122962875,0.068448356,0.353724392,0.102095572,0.158274067,0.139059406
0.23653255,0.275946034,0.632399648,1.0,0.236582035,0.210696925,0.539964369,0.714753674,0.26450571,0.507489557,0.261078434,0.28480454,0.123562675,0.188623581,0.601168613,0.515755137,0.187222404,0.048056716,0.07284284,0.268137103,0.166105059,0.311654982,0.27379939,0.206129182,0.330727327
0.839306357,0.888708166,0.069076622,0.236582035,1.0,0.295978082,0.481794991,0.22425142,0.471833997,-0.119272426,0.366380512,0.465168172,0.778413562,0.225803661,0.101769218,-0.091808766,0.782759849,0.032211016,0.266518492,0.411329022,0.761325982,0.336217041,0.424036342,0.262440874,0.466239525
0.329063891,0.288840495,0.203868667,0.210696925,0.295978082,1.0,0.315123169,0.266658348,0.406254933,-0.119091513,0.166279499,0.441511516,0.294962378,0.739907159,0.177342381,-0.088573641,0.340271649,0.0726479,-0.049504074,0.191028655,0.30286038,0.385107888,0.163458926,0.76553667,0.340707538
0.449230439,0.493809864,0.546338651,0.539964369,0.481794991,0.315123169,1.0,0.624814947,0.505453485,0.43567625,0.403554411,0.461150283,0.511774436,0.339142623,0.491124506,0.399626239,0.447490965,0.080060323,0.159527965,0.422967212,0.431549427,0.590681064,0.454833235,0.396448063,0.469909593
0.222555804,0.194541284,0.548576651,0.714753674,0.22425142,0.266658348,0.624814947,1.0,0.279098082,0.510088007,0.230020049,0.33502301,0.205193099,0.179611167,0.628861466,0.548137806,0.145804107,0.048718049,0.05057616,0.285226069,0.120856587,0.328510004,0.20525048,0.20100764,0.362774654
0.423066217,0.470386291,0.098351121,0.26450571,0.471833997,0.406254933,0.505453485,0.279098082,1.0,-0.281648659,0.647923255,0.7797311,0.407178043,0.343449197,0.088836038,-0.253223694,0.369968328,0.065979108,0.026016891,0.627378432,0.433349754,0.534165251,0.642194032,0.376992323,0.708137031
-0.113808998,-0.099904596,0.671384734,0.507489557,-0.119272426,-0.119091513,0.43567625,0.510088007,-0.281648659,1.0,-0.243629951,-0.314955374,-0.159076802,-0.11560172,0.702427055,0.838946158,-0.139082949,-0.120258612,0.045461213,-0.196576117,-0.145293124,0.16192232,-0.279938214,-0.089389424,-0.33107416
0.379810378,0.404994114,0.133995469,0.261078434,0.366380512,0.166279499,0.403554411,0.230020049,0.647923255,-0.243629951,1.0,0.649133941,0.32505409,0.195776875,0.126601708,-0.267273462,0.397473753,0.061198476,0.047626332,0.732941767,0.373515527,0.471382435,0.770547523,0.209039906,0.658477692
0.497198054,0.457063517,0.108947134,0.28480454,0.465168172,0.441511516,0.461150283,0.33502301,0.7797311,-0.314955374,0.649133941,1.0,0.430106539,0.393557727,0.132192313,-0.259718321,0.440320612,0.073887729,0.011992977,0.624519772,0.384054248,0.511665667,0.666612038,0.364221729,0.853425366
0.82197403,0.782592035,0.070561385,0.123562675,0.778413562,0.294962378,0.511774436,0.205193099,0.407178043,-0.159076802,0.32505409,0.430106539,1.0,0.281231895,0.041706903,-0.168895905,0.876242843,0.05361709,0.283376613,0.383426559,0.882954312,0.278111488,0.422881439,0.263220255,0.488521695
0.252144873,0.238445165,0.173663958,0.188623581,0.225803661,0.739907159,0.339142623,0.179611167,0.343449197,-0.11560172,0.195776875,0.393557727,0.281231895,1.0,0.175620817,-0.079021405,0.261852776,0.082922253,-0.042567124,0.147687355,0.282817446,0.373444924,0.199272912,0.756639664,0.409851496
0.066364872,0.06683952,0.660427223,0.601168613,0.101769218,0.177342381,0.491124506,0.628861466,0.088836038,0.702427055,0.126601708,0.132192313,0.041706903,0.175620817,1.0,0.71469477,0.046928078,0.111981249,0.069849449,0.102940496,0.050887155,0.394162395,0.096485464,0.160547362,0.093796875
-0.105591048,-0.108553106,0.61540303,0.515755137,-0.091808766,-0.088573641,0.399626239,0.548137806,-0.253223694,0.838946158,-0.267273462,-0.259718321,-0.168895905,-0.079021405,0.71469477,1.0,-0.148334505,-0.14081965,0.076909441,-0.255850766,-0.177453309,0.19149057,-0.248149169,-0.11768644,-0.267842271
0.814053047,0.781159098,0.074688229,0.187222404,0.782759849,0.340271649,0.447490965,0.145804107,0.369968328,-0.139082949,0.397473753,0.440320612,0.876242843,0.261852776,0.046928078,-0.148334505,1.0,0.038298533,0.261472452,0.385206833,0.908944205,0.342171846,0.35094545,0.246428606,0.457810024
0.019076961,0.050618492,0.077145919,0.048056716,0.032211016,0.0726479,0.080060323,0.048718049,0.065979108,-0.120258612,0.061198476,0.073887729,0.05361709,0.082922253,0.111981249,-0.14081965,0.038298533,1.0,0.199045099,0.060444956,0.035666208,0.070018789,0.069919852,0.083721519,0.079952891
0.208815984,0.245419902,0.088809488,0.07284284,0.266518492,-0.049504074,0.159527965,0.05057616,0.026016891,0.045461213,0.047626332,0.011992977,0.283376613,-0.042567124,0.069849449,0.076909441,0.261472452,0.199045099,1.0,0.040735851,0.304646119,0.06082713,0.01378643,-0.074030052,0.013656813
