BQB,CQOAC,CWPU,DTOT,EMWB,GGOC,IGRIG,IRKXL,IZQLN,JFG,KBJZN,MBTTD,MOSWO,PDTOU,PVAU,QPESE,RJK,TBILLJMD,TBILLUSD,TIHE,WBG,XEAK,XKFZ,XPMCJ,YTR
0.04297329,0.040515089,0.000297286,0.005761401,0.045393523,0.010334564,0.012702314,0.004036884,0.015865224,-0.002748539,0.01586504,0.019078101,0.049005664,0.008776071,0.000498019,-0.001652621,0.04726777,4.86e-05,0.000307342,0.015192476,0.040240293,0.01307913,0.011571251,0.009021992,0.019264089
0.040515089,0.05285401,0.000413664,0.007454199,0.053305525,0.010060271,0.015485067,0.003913441,0.019562853,-0.00267578,0.018761292,0.019450105,0.051744391,0.009204033,0.000556264,-0.001884205,0.050302732,0.000143,0.000400596,0.015736282,0.04442535,0.016204966,0.014698582,0.012047371,0.021019633
0.000297286,0.000413664,0.00057121,0.001775936,0.000430728,0.000738178,0.001781042,0.001147211,0.000425222,0.00186937,0.000645302,0.00048197,0.000485014,0.00069688,0.000571388,0.001110464,0.000499992,2.27e-05,1.51e-05,0.000557199,0.000410451,0.001502278,0.000425795,0.000627937,0.000740813
0.005761401,0.007454199,0.001775936,0.01380625,0.0072526,0.003750669,0.008654009,0.007348561,0.005622267,0.006946898,0.006181358,0.006194285,0.004175553,0.003721213,0.002557071,0.004575393,0.006161817,6.95e-05,6.08e-05,0.005973558,0.004896902,0.006507278,0.005613914,0.00402055,0.008661997
0.045393523,0.053305525,0.000430728,0.0072526,0.06806881,0.011698933,0.017145523,0.00511938,0.02226906,-0.003625268,0.019261118,0.022464176,0.058408137,0.009891354,0.000961168,-0.001808444,0.057202595,0.000103,0.000493696,0.020347065,0.049836254,0.015587671,0.019305124,0.011366157,0.027113978
0.010334564,0.010060271,0.000738178,0.003750669,0.011698933,0.02295225,0.006511894,0.00353489,0.011133965,-0.002101935,0.005076056,0.012381153,0.012851924,0.018820907,0.000972599,-0.001013127,0.014439478,0.000135,-5.32e-05,0.005487184,0.011512132,0.010367701,0.004321323,0.019252482,0.011505472
0.012702314,0.015485067,0.001781042,0.008654009,0.017145523,0.006511894,0.01860496,0.007457166,0.012471943,0.006923157,0.011091532,0.011642956,0.020076215,0.007766895,0.002425016,0.004115431,0.017096679,0.000134319,0.000154,0.010938541,0.014768812,0.014317093,0.01082585,0.008976536,0.014286924
0.004036884,0.003913441,0.001147211,0.007348561,0.00511938,0.00353489,0.007457166,0.00765625,0.004417774,0.00519971,0.004055541,0.005426116,0.005163684,0.002638713,0.001991919,0.003621135,0.003573476,5.24e-05,3.14e-05,0.0047319,0.002653255,0.00510792,0.003133918,0.002919636,0.007075466
0.015865224,0.019562853,0.000425222,0.005622267,0.02226906,0.011133965,0.012471943,0.004417774,0.03272481,-0.005935703,0.023617677,0.026108976,0.021184187,0.01043162,0.00058175,-0.003458517,0.018746328,0.000146808,3.34e-05,0.021518227,0.019668796,0.017171239,0.020272171,0.011320853,0.028553933
-0.002748539,-0.00267578,0.00186937,0.006946898,-0.003625268,-0.002101935,0.006923157,0.00519971,-0.005935703,0.01357225,-0.005719152,-0.006791745,-0.005329932,-0.00226121,0.002962346,0.007379161,-0.004538506,-0.000172325,3.76e-05,-0.004342052,-0.004246896,0.003352124,-0.005690934,-0.001728702,-0.008597284
